Province/State,Country/Region,Lat,Long,Date,Case,Count
Fujian,Mainland China,26.07783,117.9895,2020-01-24,confirmed,10
Fujian,Mainland China,26.07783,117.9895,2020-01-24,recovered,0
Fujian,Mainland China,26.07783,117.9895,2020-01-24,death,0
Fujian,Mainland China,26.07783,117.9895,2020-01-25,confirmed,18
Fujian,Mainland China,26.07783,117.9895,2020-01-25,recovered,0
Fujian,Mainland China,26.07783,117.9895,2020-01-25,death,0
Fujian,Mainland China,26.07783,117.9895,2020-01-26,confirmed,35
Fujian,Mainland China,26.07783,117.9895,2020-01-26,recovered,0
Fujian,Mainland China,26.07783,117.9895,2020-01-26,death,0
Fujian,Mainland China,26.07783,117.9895,2020-01-27,confirmed,59
Fujian,Mainland China,26.07783,117.9895,2020-01-27,recovered,0
Fujian,Mainland China,26.07783,117.9895,2020-01-27,death,0
Fujian,Mainland China,26.07783,117.9895,2020-01-28,confirmed,80
Fujian,Mainland China,26.07783,117.9895,2020-01-28,recovered,0
Fujian,Mainland China,26.07783,117.9895,2020-01-28,death,0
Fujian,Mainland China,26.07783,117.9895,2020-01-29,confirmed,84
Fujian,Mainland China,26.07783,117.9895,2020-01-29,recovered,0
Fujian,Mainland China,26.07783,117.9895,2020-01-29,death,0
Fujian,Mainland China,26.07783,117.9895,2020-01-30,confirmed,101
Fujian,Mainland China,26.07783,117.9895,2020-01-30,recovered,0
Fujian,Mainland China,26.07783,117.9895,2020-01-30,death,0
Fujian,Mainland China,26.07783,117.9895,2020-01-31,confirmed,120
Fujian,Mainland China,26.07783,117.9895,2020-01-31,recovered,0
Fujian,Mainland China,26.07783,117.9895,2020-01-31,death,0
Fujian,Mainland China,26.07783,117.9895,2020-02-01,confirmed,144
Fujian,Mainland China,26.07783,117.9895,2020-02-01,recovered,0
Fujian,Mainland China,26.07783,117.9895,2020-02-01,death,0
Fujian,Mainland China,26.07783,117.9895,2020-02-02,confirmed,159
Fujian,Mainland China,26.07783,117.9895,2020-02-02,recovered,0
Fujian,Mainland China,26.07783,117.9895,2020-02-02,death,0
Fujian,Mainland China,26.07783,117.9895,2020-02-03,confirmed,179
Fujian,Mainland China,26.07783,117.9895,2020-02-03,recovered,1
Fujian,Mainland China,26.07783,117.9895,2020-02-03,death,0
Fujian,Mainland China,26.07783,117.9895,2020-02-04,confirmed,194
Fujian,Mainland China,26.07783,117.9895,2020-02-04,recovered,3
Fujian,Mainland China,26.07783,117.9895,2020-02-04,death,0
Fujian,Mainland China,26.07783,117.9895,2020-02-05,confirmed,205
Fujian,Mainland China,26.07783,117.9895,2020-02-05,recovered,11
Fujian,Mainland China,26.07783,117.9895,2020-02-05,death,0
Fujian,Mainland China,26.07783,117.9895,2020-02-06,confirmed,215
Fujian,Mainland China,26.07783,117.9895,2020-02-06,recovered,14
Fujian,Mainland China,26.07783,117.9895,2020-02-06,death,0
Fujian,Mainland China,26.07783,117.9895,2020-02-07,confirmed,224
